Paper Publish Year,DOI,Category (Carbohydrate Mimetic),Mimic of which Carbohydrate,Name of the Carbohydrate Mimetic,Functions,Activity
2012,https://doi.org/10.2174/138955712803832672,Semi-synthetic aminoglycoside antibiotic,2-Deoxystreptamine (2-DOS) based pseudo-oligosaccharide,Amikamycins,Binds to rRNA to inhibit protein synthesis.,"Effective against resistant bacteria, particularly Gram-negative pathogens"
2012,https://doi.org/10.2174/138955712803832672,Semi-synthetic aminoglycoside antibiotic,2-Deoxystreptamine (2-DOS) based pseudo-oligosaccharide,Dibekacins,Binds to rRNA to inhibit protein synthesis.,"Active against aminoglycoside-resistant strains, used for treating severe infections"
2012,https://doi.org/10.2174/138955712803832672,Semi-synthetic aminoglycoside antibiotic,2-Deoxystreptamine (2-DOS) based pseudo-oligosaccharide,Sisomicins,Binds to rRNA to inhibit protein synthesis.,"Broad-spectrum activity, effective against Pseudomonas aeruginosa and other resistant pathogens"
2012,https://doi.org/10.2174/138955712803832672,Semi-synthetic aminoglycoside antibiotic,2-Deoxystreptamine (2-DOS) based pseudo-oligosaccharide,Netilmicins,Binds to rRNA to inhibit protein synthesis.,"Active against aminoglycoside-resistant bacteria, lower ototoxicity compared to other aminoglycosides"
2012,https://doi.org/10.1155/2012/740982,GD1α-mimetic peptide,GD1α (a ganglioside),GD1 α-mimetic peptides,"These peptides functionally mimic GD1α, which is an adhesion molecule involved in tumor metastasis.",GD1α-replica peptides suppress tumor metastasis.
2012,https://doi.org/10.1155/2012/740982,Oligosaccharide-mimetic peptide,Sialyl-Lewis X (sLeX),sLe X-mimetic peptides,"These peptides inhibit binding to E-selectin, which is involved in cell adhesion processes.","inhibit the binding of E-selectin, thereby reducing neutrophil rolling and adhesion to endothelial cells during inflammatory responses."
2012,https://doi.org/10.1155/2012/740982,Peptide mimetic,α-Gal (Galα1-3Gal),Peptide mimetics of xenoreactive α-Gal antigenic epitope,"These mimetics are designed to mimic the α-Gal epitope, which is known to elicit strong immune responses in humans, particularly in the context of xenotransplantation.","The peptide mimetics can potentially inhibit the binding of anti-α-Gal antibodies, thereby reducing the risk of hyperacute rejection in xenotransplantation scenarios."
2012,https://doi.org/10.1593/neo.111544,Carbohydrate-based galectin inhibitor,Galactoside-containing polysaccharide,Modified Citrus Pectin (MCP),"Inhibits galectin-3, blocking its antiapoptotic function and tumor cell clonogenic survival","Shown to inhibit experimental metastasis in various animal models, including melanoma and prostate carcinoma"
2012,https://doi.org/10.1593/neo.111544,Synthetic β-galactoside disaccharide/amino acid conjugate,Cancer-associated Thomsen-Friedenreich antigen (TF-Ag),Glycoamine Lactulose-L-leucine (Lac-L-Leu),"Binds and inhibits galectin-3, mimicking TF-Ag",Impedes metastasis-associated tumor cell adhesive interactions and inhibits the formation of early metastatic deposits in lungs and bones
2012,https://doi.org/10.1371/journal.pone.0035457,Carbohydrate mimetic peptide,GD2 ganglioside,Peptides mimicking GD2 ganglioside,"These peptides are designed to mimic the structure of GD2 ganglioside, which is a tumor-associated antigen.","They elicit immune responses, including cellular and humoral immunity, and can potentially be used in cancer immunotherapy"
2012,https://doi.org/10.1371/journal.pone.0035457,Carbohydrate mimetic peptide,GD3 ganglioside,Peptides mimicking GD3 ganglioside,"Similar to GD2 mimics, these peptides replicate the structure of GD3 ganglioside, facilitating recognition by specific antibodies.","They can induce anti-ganglioside immune responses, contributing to the development of therapeutic strategies against cancers expressing GD3"
2012,https://doi.org/10.1016/j.carres.2012.05.024,Carbohydrate Mimetic,Pentasaccharide,Octapeptide 2,Binds to the SYA/J6 antibody with moderate affinity,"Potential use in developing vaccines or therapeutics targeting diseases where pentasaccharide recognition plays a role, such as certain bacterial infections or autoimmune disorders"
2012,https://doi.org/10.1016/j.carres.2012.05.024,Glycopeptide mimetic,Structural elements from the pentasaccharide and the octapeptide,a-Glycopeptide 3,"Designed to mimic natural antigens for vaccine development. Interacts with the antibody primarily on the periphery of the combining site, with some residues maintaining interactions similar to those in the pentasaccharide","Potential use in vaccine development against pathogens that express similar carbohydrate structures, possibly including certain bacterial strains or parasites. May also have applications in autoimmune diseases where antibodies against specific carbohydrate structures are involved."
2012,https://doi.org/10.1016/j.carres.2012.05.024,Glycopeptide mimetic,Structural elements from the pentasaccharide and the octapeptide,b-Glycopeptide 4,Designed to mimic natural antigens for vaccine development,Potential use in vaccine development against pathogens expressing similar carbohydrate structures. May also have applications in treating autoimmune diseases where antibodies against specific carbohydrate structures are involved.
2012,DOI: 10.2174/138955712803832753,Synthetic carbohydrate mimetic,GDP-fucose,GDP-hexanolamine,Inhibitors of fucosyltransferases,"Potential treatment for cancer and inflammatory diseases by inhibiting fucosylation processes involved in cell-cell recognition, cell adhesion, and signaling pathways"
2012,DOI: 10.2174/138955712803832753,Synthetic carbohydrate mimetic,Trisaccharide	,Azatrisaccharide containing a piperidine ring,Inhibitor of glycosyltransferases,Potential treatment for cancer and inflammatory diseases by inhibiting aberrant glycosylation processes
2012,DOI: 10.2174/138955712803832753,Synthetic carbohydrate mimetic,N-Ac-lactosamine,N-Ac-lactosamine mimetics,Inhibitor of glycosyltransferases,Potential treatment for cancer and inflammatory diseases by inhibiting aberrant glycosylation processes
2012,https://doi.org/10.1371/journal.pone.0043976,Ganglioside mimic,GM1 ganglioside,GM1,"Induces antibodies that may cross-react with neural tissue, contributing to the pathogenesis of Guillain-Barré syndrome (GBS)","Found in the lipo-oligosaccharides (LOS) of C. jejuni strains associated with GBS, indicating a role in immune response"
2012,https://doi.org/10.1371/journal.pone.0043976,Ganglioside mimic,GD1a ganglioside,GD1a,"Similar to GM1, it induces antibodies that may cross-react with neural tissue, contributing to GBS","Detected in the lipooligosaccharide (LOS) of C. jejuni strains related to Guillain-Barré syndrome (GBS), indicating its involvement in triggering an autoimmune response that leads to peripheral nerve damage and acute flaccid paralysis"
2012,https://doi.org/10.1371/journal.pone.0043976,Ganglioside mimic,GA2 ganglioside,GA2,Associated with the immune response in patients with ophthalmoplegia,"Structures mimicking GA2 were found in LOS of C. jejuni strains associated with GBS, suggesting a role in pathogenic antibody formation"
2012,https://doi.org/10.1371/journal.pone.0043976,Ganglioside mimic,GD3 ganglioside,GD3,"Similar to GA2, it is involved in the immune response related to GBS","Structures mimicking GD3 were also found in LOS of C. jejuni strains associated with GBS, indicating their role in inducing pathogenic antibodies"
2012,https://doi.org/10.1093/glycob/cwr140,Carbohydrate-Mimetic Peptides,Methyl α-D-mannopyranoside (a known carbohydrate ligand for Con A).,Con A Ligand-Mimetic Peptides,Serve as ligands for the lectin concanavalin A (Con A).,"Potential applications in antiviral therapy, cancer treatment, and as vaccine components by mimicking carbohydrate antigens and inducing immune responses"
2012,https://doi.org/10.1093/glycob/cwr140,Carbohydrate-Mimetic Peptides,Non-reducing terminal galactose structure.,9-mer Peptides,Recognized by monoclonal antibodies directed to lacto-tetraosylceramide and neolactotetraosylceramide. Bind to Ricinus lectin and inhibit Jack bean β-galactosidase activity toward neolactotetraosylceramide,Potential applications in cancer therapy and treatment of infectious diseases by mimicking carbohydrate antigens and modulating galactose-mediated cellular processes
2012,https://doi.org/10.1093/glycob/cwr140,Carbohydrate-Mimetic Peptides,Lewis Y antigen.,PWLY Peptide,Induces an immune response against the Lewis Y antigen.,"Can elicit an immune response in rabbits and mice, demonstrating its potential as a vaccine component"
2012,https://doi.org/10.1093/glycob/cwr140,Carbohydrate-Mimetic Peptides,Sialyl Lewis X (a carbohydrate ligand).,I-Peptide (IELLQAR),Inhibits the binding of sialyl Lewis X to E-selectin.,"Inhibits lung colonization of melanoma cells, potentially useful for cancer metastasis prevention. May also have applications in treating inflammatory conditions and modulating immune responses."
2012,https://doi.org/10.1093/glycob/cwr140,Carbohydrate-Mimetic Peptides (Epitope analog.),Type III capsular polysaccharide of group B streptococci (GBS).,FDTGAFDPDWPA Peptide,Elicits an antibody response against GBS.,"When conjugated to carriers and used for immunization, it resulted in a significant antibody response to GBS after a single immunization"
2013,https://doi.org/10.1002/ejoc.201201413,Iminosugar,maltose,N-hydroxyethyl-1-deoxy-nojirimycin (Glyset),Glycosidase inhibitor,"Used primarily in the treatment of Type 2 diabetes by inhibiting α-glucosidase, which slows carbohydrate absorption."
2013,https://doi.org/10.1002/ejoc.201201413,Iminosugar,glucosamine,N-butyl-1-deoxy-nojirimycin (Zavesca),Glycosidase inhibitor,"Approved for the treatment of Type 1 Gaucher disease, acting as a pharmacological chaperone for mutant glucocerebrosidase."
2013,https://doi.org/10.1002/ejoc.201201413,Iminosugar,glucose,1-deoxynojirimycin (DNJ),Glycosidase inhibitor,Inhibits various glycosidases and has potential therapeutic applications in metabolic disorders.
2013,https://doi.org/10.1002/ejoc.201201413,Iminosugar,Mannitol,"1,5-dideoxy-1,5-imino-D-mannitol",Glycosidase inhibitor,"Potential treatment for viral infections (HIV, influenza), metabolic disorders (diabetes), and cancer by inhibiting specific glycosidases involved in carbohydrate processing"
2013,https://doi.org/10.1002/ejoc.201201413,Iminosugar,Glucitol (Sorbitol),"1,5-Dideoxy-1,5-imino-D-glucitol",Acts as a glycosidase inhibitor.,"Inhibits enzymes such as α-glucosidases, which are involved in the hydrolysis of glycosidic bonds in carbohydrates. This inhibition can help regulate blood sugar levels, making it useful in the management of diabetes and related metabolic disorders."
2013,https://doi.org/10.1002/ejoc.201201413,Iminosugar,Lyxose,"1,5-Dideoxy-1,5-imino-D-lyxitol",Acts as a glycosidase inhibitor.,"Inhibits glycosidases, which can affect carbohydrate metabolism. Its structural similarity to lyxose allows it to interfere with the enzymatic processes that normally act on this sugar, potentially providing therapeutic benefits in conditions related to carbohydrate metabolism."
2013,https://doi.org/10.1002/ejoc.201201413,Iminosugar,Idohexose,1-Deoxy-1-idonojirimycin (l-DIJ),Glycosidase inhibitor,"Inhibits enzymes involved in carbohydrate metabolism, potentially useful in treating metabolic disorders."
2013,https://doi.org/10.1002/ejoc.201201413,Iminosugar,Pentoses,1-C-alkyl iminopentitols,Glycosidase inhibitor,"Potent inhibitors of β-glucocerebrosidase, showing potential as therapeutic agents for Gaucher disease."
2013,https://doi.org/10.1002/ejoc.201201413,Iminosugar,Mannitol,"1,5,6-trideoxy-1,5-imino-D-mannitol",Glycosidase inhibitor,"Inhibits glycosidases, potentially useful in therapeutic applications."
2013,https://doi.org/10.1002/ejoc.201201413,Iminosugar,Glucitol,"1,5,6-trideoxy-1,5-imino-D-glucitol",Glycosidase inhibitor,"Inhibits glycosidases, impacting carbohydrate metabolism."
2013,https://doi.org/10.1039/C3PY01123B,b-1/6-linked N-acetylglucosamine Oligosaccharide,Polysaccharide intercellular adhesin (PIA) produced by Staphylococcus aureus,Compound 5 (per-acetylated b-1/6-linked N-acetylglucosamine disaccharide),"To create a surface that mimics the natural biofilm structure, enhancing immune recognition.","Potentially immunogenic, may produce anti-PNAG antibodies in vivo, aiding in vaccine development against Staphylococcus aureus infections, particularly biofilm-associated infections"
2013,https://doi.org/10.1039/C3PY01123B,b-1/6-linked N-acetylglucosamine Oligosaccharide,Polysaccharide intercellular adhesin (PIA) produced by Staphylococcus aureus,Oligosaccharides 6-8 (various benzoylated b-1/6-linked glucosamine-based oligosaccharides),Present multiple copies of carbohydrate units to probe multivalent interactions.,"Mimics the globular nodules of PIA, facilitating studies on bacterial adhesion and immune response."
2013,https://doi.org/10.1039/C3PY01123B,Multivalent Constructs,Polysaccharide intercellular adhesin (PIA) produced by Staphylococcus aureus,Multivalent Carbohydrate Constructs,Present multiple copies of carbohydrate units to enhance immune engagement.,"Potential vaccine candidate against Staphylococcus aureus infections by mimicking PIA structure, inducing antibody production, and enhancing immune response against biofilm-associated infections"
2013,https://doi.org/10.1007/128_2013_498,Oligosaccharide Mimetic,Neu5Ac-α(2–3)-Gal-β(1–3)-GalNAc,Neu5Ac-α(2–3)-Gal-β(1–3)-[Neu5Ac-α(2–6)]-GalNAc-β-OSE,"Acts as a high-affinity ligand for MAG, blocking its binding site.","Inhibits MAG (Myelin-Associated Glycoprotein)-mediated neuronal growth inhibition, potentially aiding in nerve regeneration."
2013,https://doi.org/10.1007/128_2013_498,Oligosaccharide Mimetic,Neu5Ac-α(2–3)-Gal-β(1–3)-Gal,Neu5Ac-α(2–3)-Gal-β(1–3)-[Neu5Ac-α(2–6)]-Gal-β-OSE,Designed to mimic the binding characteristics of sialylated gangliosides.,"Competes with natural sialoglycans to disrupt MAG binding, aiding in neuroprotection."
2013,https://doi.org/10.1007/128_2013_498,Oligosaccharide Mimetic,Neu5Ac-α(2–3)-Gal-β(1–3)-GalNAc,Neu5Ac-α(2–3)-Gal-β(1–3)-GalNAc-β-OSE,Serves as a competitive inhibitor for MAG binding.,"Prevents MAG from interacting with its natural ligands, promoting neurite outgrowth."
2013,https://doi.org/10.1007/128_2013_498,Oligosaccharide Mimetic,Neu5Ac-α(2–3)-Gal-β(1–3)-Gal,Neu5Ac-α(2–3)-Gal-β(1–3)-Gal-β-OSE,Mimics the sialylated structure to inhibit MAG interactions.,"Blocks MAG function, potentially aiding in nerve repair and regeneration"
2013,https://doi.org/10.1007/128_2013_498,Oligosaccharide Mimetic,Gal-β(1–3)-[Neu5Ac-α(2–6)]-Gal,Gal-β(1–3)-[Neu5Ac-α(2–6)]-Gal-β-OSE,Designed to block MAG binding through structural similarity.,"Disrupts MAG-mediated inhibition, facilitating neuronal regeneration."
2013,DOI: 10.1248/yakushi.13-00054,α-1-C-alkyl-arabinoiminofuranoses,Various carbohydrates,α-1-C-alkyl-arabinoiminofuranoses,Inhibitor of intestinal maltase and sucrase,"Showed potent inhibitory activities towards intestinal maltase, with IC50 values comparable to commercial drugs such as acarbose, voglibose, and miglitol,which are used in the treatment of type 2 diabetes"
2013,https://doi.org/10.1002/chem.201302786,GM1 mimetics,GM1 ganglioside,Pseudo-tetrasaccharides bearing a cyclohexane diol moiety,Binds to cholera toxin with high affinity,"Potential inhibitor of cholera toxin, which could prevent cholera infection by blocking toxin binding to intestinal cells"
2013,https://doi.org/10.1002/chem.201302786,Non-carbohydrate mimics,GM1 ganglioside,Based on a polyhydroxyalkylfuroic ester structure,Act as antagonists of enterotoxins,Showed binding affinities in the same order as known sugar-derived MNPG; the highest affinity was shown by these non-carbohydrate mimics towards cholera toxin
2013,https://doi.org/10.1002/anie.201302543,Carbocyclic analogue of sergliflozin,"Sergliflozin, which is a glucose analogue",Pseudo-sergliflozin,"Acts as a selective inhibitor of the sodium-dependent glucose cotransporter 2 (SGLT2), responsible for glucose reabsorption in the kidneys.","Pseudo-sergliflozin has a three-fold longer half-life and longer hypoglycemic action compared to sergliflozin-A (2b) in db/db mice, indicating its potential effectiveness as an antidiabetic agent"
2013,https://doi.org/10.1002/anie.201302543,Original sergliflozin compound,Glucose,Sergliflozin-A,"Inhibitor of SGLT2, similar to pseudo-sergliflozin.",Potential treatment for type 2 diabetes by increasing urinary glucose excretion and lowering blood glucose levels without causing hypoglycemia
2014, https://doi.org/10.3762/bjoc.10.17,Carbohydrate memitics,Septanosides,Poly(hydroxy)aminooxepanes derivatives.,Potentially serve as selectin inhibitors and can be used in multivalent conjugates.,Potential therapeutic applications in inflammatory conditions and vascular diseases by inhibiting P- and L-selectin mediated cell adhesion
2014,https://doi.org/10.3389/fimmu.2014.00308,"natural peptides derived from proteins, such as those from the Mucin 1 cell surface receptor (MUC1), which are considered mimics of carbohydrate antigens like the Gal-epitope",Gal-epitope,carbohydrate-mimetic peptides (CMPs),"inducing immune responses to glycan antigens expressed on cancer cells and pathogens, mediating cognate B and T-cell interactions, and potentially functioning as probes to understand the structural basis for the dual recognition properties of antibodies, lectins, and T cells","inducing immune responses that can inhibit tumor growth in vivo, generating antibodies capable of neutralizing pathogens such as HIV-1, and mediating cytotoxic activity against tumor cells."
2014,https://doi.org/10.3762/bjoc.10.182,β-D-2-aminotalose-configured carbohydrate mimetics,"structures related to aminopyrans, which can be associated with various natural carbohydrates, including those with β-D-talose and β-D-idopyranose configurations",phenyl-substituted aminopyrans,"The function of phenyl-substituted aminopyrans includes serving as potential inhibitors for selectins, which are important in cell adhesion processes",Potential anti-inflammatory and anti-metastatic effects due to high binding affinities towards L- and P-selectin when presented in a multivalent format
2014, https://doi.org/10.3762/bjoc.10.182,β-D-2-aminotalose-configured carbohydrate mimetics,structures related to β-D-2-aminotalose and β-D-2-aminoidose,rigid divalent p-terphenyl-linked carbohydrate mimetics,"the function of these mimetics includes serving as potential inhibitors for selectins, which are important in cell adhesion processes","The activity of rigid divalent p-terphenyl-linked carbohydrate mimetics is highlighted by their ability to exhibit high binding affinities towards L- and P-selectin when presented in a multivalent format, indicating their potential biological activity ."
2014, https://doi.org/10.3762/bjoc.10.182,β-D-2-aminoidose-configured carbohydrate mimetics,mimic structures related to β-D-2-aminotalose and β-D-2-aminoidose,divalent compounds with p-terphenyl spacers,"the function of these mimetics includes serving as potential inhibitors for selectins, which are important in cell adhesion processes",Potential anti-inflammatory and anti-metastatic effects due to high binding affinities towards L- and P-selectin when presented in a multivalent format
2014, https://doi.org/10.3762/bjoc.10.182,Unnatural divalent rigid p-terphenyl-linked C-aryl glycosides,structures related to β-D-2-aminotalose and β-D-2-aminoidose,biphenyl aminopyran,"the function of these mimetics includes serving as potential inhibitors for selectins, which are important in cell adhesion processes",Potential anti-inflammatory and anti-metastatic effects due to high binding affinities towards L- and P-selectin when presented in a multivalent format
2014, https://doi.org/10.3762/bjoc.10.182,Unnatural divalent rigid p-terphenyl-linked C-aryl glycosides,structures related to β-D-2-aminotalose and β-D-2-aminoidose,p-terphenyl-linked dimers,"the function of these mimetics includes serving as potential inhibitors for selectins, which are important in cell adhesion processes",Potential anti-inflammatory and anti-metastatic effects due to high binding affinities towards L- and P-selectin when presented in a multivalent format
2014, https://doi.org/10.3762/bjoc.10.182,carbohydrate mimetics that combine features of C-aryl glycosides and aminosugars,structures related to β-D-2-aminotalose and β-D-2-aminoidose,Aminosugar Mimetics,"the function of these mimetics includes serving as potential inhibitors for selectins, which are important in cell adhesion processes",Potential inhibition of selectin-mediated cell adhesion
2014,https://doi.org/10.1002/ejoc.201402191,carbohydrate mimetics.,natural carbohydrate Sialyl Lewis X.,"Sialyl Lewis X (sLe x) analogues
",these analogues have the potential to be used for the treatment of diseases such as chronic inflammations.,"They are involved in high binding affinities towards L- and P-selectins, which are important in cell adhesion processes"
2014,https://doi.org/10.1002/ejoc.201402191,carbohydrate mimetics.,Septanosides,Poly(hydroxy)aminooxepanes,"The function of poly(hydroxy)aminooxepanes is to serve as building blocks for the synthesis of various compounds, including those considered as carbohydrate mimetics","Potential therapeutic applications in inflammatory conditions and vascular diseases by inhibiting P- and L-selectin mediated cell adhesion. May have interesting biological activities, possibly as selectin inhibitors."
2014,https://doi.org/10.1002/ejoc.201402191,carbohydrate mimetics.,Septanosides,Azidooxepanes,Azidooxepanes serve as intermediates in the synthesis of various carbohydrate mimetics through copper-catalyzed [3+2] cycloadditions with alkynes,"Potential applications in drug discovery and development of new therapeutics for inflammatory conditions and vascular diseases. The resulting triazole-containing compounds may exhibit biological activities similar to carbohydrates, possibly as enzyme inhibitors or receptor ligands."
2014,https://doi.org/10.1002/ejoc.201402191,carbohydrate mimetics.,Septanosides,Triazole derivatives,"Triazole derivatives can serve as potential inhibitors in biological processes, particularly in relation to selectin interactions.","They exhibit high binding affinities towards L- and P-selectins, which are important in cell adhesion processes"
2014,https://doi.org/10.1002/ejoc.201402191,carbohydrate mimetics.,Septanosides,Divalent oxepane,"The divalent structure, along with its long flexible spacer and terminal aryl groups, shows resemblance to known selectin inhibitors, such as Bimosiamose, which have been developed for clinical studies","They exhibit high binding affinities towards L- and P-selectins, which are important in cell adhesion processes"
2014,https://link.springer.com/chapter/10.1007/7355_2014_50,Iminosugar,glucose mimetic based on its scaffold,deoxynojirimycin,Modulates the action of enzymes involved in carbohydrate synthesis and metabolism.,Demonstrated activity in inhibiting glucocerebrosidase and has been associated with therapeutic applications for lysosomal storage diseases
2014,https://link.springer.com/chapter/10.1007/7355_2014_50,Iminosugar,mannose,swainsonine,"Modulates the action of enzymes involved in carbohydrate synthesis and metabolism, specifically as an inhibitor of α-mannosidase.","1. Potential anti-cancer agent: Inhibits tumor cell growth, reduces metastasis, and enhances cellular immune responses"
2014,https://link.springer.com/chapter/10.1007/7355_2014_50,Iminosugar,glucose,castanospermine,"Modulates the action of enzymes involved in carbohydrate synthesis and metabolism, specifically as an inhibitor of glucosidases","Demonstrated activity in inhibiting glucosidases, which is relevant for therapeutic applications in lysosomal storage diseases"
2014,https://link.springer.com/chapter/10.1007/7355_2014_50,Iminosugar,glucose,nojirimycin,Modulates the action of enzymes involved in carbohydrate synthesis and metabolism,"Potential treatment for viral infections (HIV, influenza), diabetes, and cancer by inhibiting specific glycosidases"
2014,https://link.springer.com/chapter/10.1007/7355_2014_50,Iminosugar,glucose,isofagomine,"act as a pharmacological chaperone for the glucocerebrosidase enzyme, which is relevant for the treatment of Gaucher’s disease","Potential treatment for Gaucher's disease by stabilizing mutant glucocerebrosidase, enhancing its trafficking to lysosomes, and increasing its enzymatic activity"
2014,https://link.springer.com/chapter/10.1007/7355_2014_50,Iminosugar,glucose,miglitol,"Miglitol is used for the treatment of Type II diabetes and functions by inhibiting carbohydrate-processing enzymes, which helps to regulate blood sugar levels","Inhibits alpha-glucosidase enzymes, delaying carbohydrate digestion and reducing postprandial hyperglycemia"
2014,https://link.springer.com/chapter/10.1007/7355_2014_50,Iminosugar,glucose,miglustat,"It functions by inhibiting glucosylceramide synthase, which helps to reduce the accumulation of glucosylceramide in lysosomes","Miglustat is used for the treatment of lysosomal storage diseases, specifically Gaucher’s disease and Niemann Pick type C disease."
2014,https://link.springer.com/chapter/10.1007/7355_2014_50,Iminosugar,mannose,nojirimycin B,Modulates the action of enzymes involved in carbohydrate synthesis and metabolism.,Potential antiviral and antitumor agent by interfering with N-linked glycosylation
2014,https://link.springer.com/chapter/10.1007/7355_2014_50,Iminosugar,galactose,galactostatin,Inhibitor of β-galactosidase.,Potential treatment for GM1-gangliosidosis and Morquio B disease by acting as a pharmacological chaperone for lysosomal β-galactosidase
2014,https://link.springer.com/chapter/10.1007/7355_2014_50,Iminosugar,glucose,moranoline,Modulates the action of enzymes involved in carbohydrate synthesis and metabolism.,"Potential treatment for diabetes by inhibiting intestinal α-glucosidases, reducing postprandial glucose levels"
2014,https://link.springer.com/chapter/10.1007/7355_2014_50,Iminosugar,glucose,fagomine,Modulates the action of enzymes involved in carbohydrate synthesis and metabolism.,"Lowers postprandial blood glucose and modulates bacterial adhesion, potential for diabetes management and gut health"
2014,https://link.springer.com/chapter/10.1007/7355_2014_50,Iminosugar,pyranose sugars,Alexines,Modulates the action of enzymes involved in carbohydrate synthesis and metabolism.,Potential treatment for lysosomal storage disorders and as antiviral agents by inhibiting ER α-glucosidases
2014,https://link.springer.com/chapter/10.1007/7355_2014_50,Iminosugar,D-galactose,Casuarine,"inhibits glycosidases, specifically targeting enzymes like α-galactosidase.",Potential treatment for Fabry disease and other lysosomal storage disorders by inhibiting α-galactosidase
2014,https://doi.org/10.1517/17425247.2014.902048,Glycopolymers,"Naturally occurring polysaccharides (e.g., glycosaminoglycans, chondroitin sulfate)",Glycopolymers,"Anticoagulant, anti-inflammatory, anti-tumor properties","Potential applications in treating cardiovascular diseases, inflammatory conditions, and cancer by mimicking biological activities of natural polysaccharides. May also be used as drug delivery systems and protein stabilizers in pharmaceutical formulations."
2014,https://doi.org/10.1517/17425247.2014.902048,Glyconanoparticles,Glycans in lipid rafts,Glyconanoparticles (GNPs),"Targeted drug delivery, gene therapy, vaccine development","Engages in carbohydrate-protein and carbohydrate-carbohydrate interactions, shows promise for clinical applications"
2014,https://doi.org/10.4161/hv.34300,Carbohydrate Mimetic Peptide (CMP),Lewis Y (LeY) carbohydrate antigens,P10s,Induces anti-tumor antibody response and is hypothesized to interfere with cellular pathways involved in tumor cell survival.,"The P10s vaccine resulted in responses to P10s, with serum and plasma antibodies that were reactive with and cytotoxic to human breast cancer cells in vitro, including a Trastuzumab-resistant cell line. It also suggested sensitization of tumor cells for more efficient killing upon administration of chemotherapy (docetaxel)"
2014,https://doi.org/10.1021/ol500848q,Acyclic form derivatives,Acyclic intermediate of UDP-Gal f,UDP-galactitols (specifically molecules 8 and 9),Designed to mimic the acyclic form of galactitol to inhibit UGM.,"Potential antimycobacterial agent by inhibiting UGM, which is essential for mycobacterial cell envelope biosynthesis. May be effective against pathogens like Mycobacterium tuberculosis and drug-resistant Corynebacterium diphtheriae"
2014,https://doi.org/10.1021/ol500848q,C-glycosidic analogue,UDP-galactofuranose,UDP-C-Galf (20),Used for comparison in inhibition studies against UGM,"Potential antimycobacterial agent, but less effective than UDP-carbasugar 7 in inhibiting UGM, which is essential for mycobacterial cell wall biosynthesis. May have limited efficacy in treating tuberculosis and related infections due to weaker affinity for UGM"
2014,https://doi.org/10.1021/ol500848q,Transition-state analogue,Mimics high-energy intermediates of the UGM-catalyzed reaction,UDP-carbasugar (7),Designed to act as a high-energy intermediate analogue for UGM inhibition.,"Potential antimycobacterial agent by inhibiting UGM, which is essential for mycobacterial cell wall biosynthesis, particularly in treating tuberculosis and related infections"
2014,https://doi.org/10.1517/13543776.2014.916280,Amino Carbasugar,D-Glucose,Valienamine,Glycosidase inhibitor,"Inhibits α-glucosidases and is the active pharmacophore in acarbose, used to treat type 2 diabetes"
2014,https://doi.org/10.1517/13543776.2014.916280,Amino Carbasugar,D-Glucose,Acarbose,α-Glucosidase inhibitor,Used as an anti-diabetic drug to slow carbohydrate absorption in the intestine
2014,https://doi.org/10.1517/13543776.2014.916280,Iminosugar,D-Mannose,Mannojirimycin,"Inhibits α-mannosidases, which can affect glycoprotein processing.",. Potential antiviral agent against HIV and other viruses by interfering with N-linked glycosylation. May also have applications in treating lysosomal storage disorders and as an anti-inflammatory agent in cystic fibrosis.
2014,https://doi.org/10.1517/13543776.2014.916280,Thiosugar,D-Mannose,5-thio-D-mannose (Thiosugar),Glycosidase inhibitor,"Inhibits glycosidases, potentially affecting carbohydrate metabolism"
2014,https://doi.org/10.1517/13543776.2014.916280,Iminosugar,D-Mannitol,"2,5-Dideoxy-2,5-imino-D-mannitol (DMDP)",Glycosidase inhibitor,"Potential antiviral (HIV, influenza), antituberculosis, and antidiabetic agent. May also have applications in treating Gaucher's disease and as an insect antifeedant"
2014,https://doi.org/10.1517/13543776.2014.916280,Iminosugar,D-Galactose,Migalastat (Amigal),Pharmacological chaperone,"Used in the treatment of Fabry disease, Migalastat stabilizes the mutant form of the enzyme α-galactosidase A, enhancing its activity and helping to reduce substrate accumulation"
2014,https://doi.org/10.1517/13543776.2014.916280,Bicyclic Iminosugar,D-Glucose,Australine,Glycosidase inhibitor,"Isolated from Castanospermum australe, Australine has shown glycosidase inhibitory activity and potential antiviral properties"
2014,https://doi.org/10.1021/jo402574h,Bicyclic hybrid,Monosaccharide,Bicyclic diazasugar (9),Glycosidase inhibitor,"Potential treatment for metabolic disorders, viral infections, and cancer by inhibiting specific glycosidases involved in carbohydrate processing. May also have applications in treating lysosomal storage disorders by acting as a pharmacological chaperone"
2014,https://doi.org/10.1021/jo402574h,Hybrid molecule,Resembles sugars,Sugar−piperidine hybrid (5),Glycosidase inhibitor,Potential treatment for Gaucher disease and other lysosomal storage disorders by selectively inhibiting β-glucosidase (IC50 = 38.8 μM). May act as a pharmacological chaperone to stabilize mutant glucocerebrosidase enzymes and improve their trafficking to lysosomes.
2014,https://doi.org/10.1021/jo402574h,Hybrid molecule,Resembles sugars,Sugar−pyran derivative (25a),Glycosidase inhibitor,Potential treatment for GM1 gangliosidosis and related lysosomal storage disorders by inhibiting β-galactosidase (IC50 = 36.5 μM). May act as a pharmacological chaperone to stabilize mutant enzymes and improve their trafficking to lysosomes.
