 Paper Publish Year,DOI,Carbohydrate/Protein Mimetic,Category ,Mimic of which Protein/Carbohydrate,Name of the Mimetic,Functions,Activity
2017,https://doi.org/10.1021/acs.orglett.7b00945,Carbohydrate,Structural modification,Rhamnose (specifically the C-3 and C-4 positions),C-3/C-4-n-Pr-carbamates,To enhance the stability and efficacy of the analogues.,Potential improvement in anticancer activity through more stable and effective RSK inhibition
2017,http://dx.doi.org/10.1016/j.sbi.2016.12.009,Protein,PPI inhibitor,Arg-Gly-Asp acid (RGD),"Cilengitide (Merck-Ser-ono), c(RGDf(NMe)V)",Acts as an inhibitor between the integrins,Potential anti-cancer agent by inhibiting integrin interactions
2017,https://doi.org/10.3390/ph10040078,Protein,heparin mimetic,Heparin,PG454,inhibits heparanase with low anti-coagulant properties,Potential anti-cancer agent by inhibiting heparanase
2017,https://doi.org/10.3390/ph10040078,Protein,heparin mimetic,Heparin,M402,"inhibits epithelial-to-mesenchymal transition, a key step in the progression of tumor cells towards a more invasive phenotype","reduces anticoagulant activity and inhibition of tumor metastasis through the modulation of factors, such as P-selectin, VEGF, and FGFs"
2017,https://doi.org/10.1007/978-1-4939-6857-2_1,Protein,affibodies,antibody,Z05416,inhibits heregulin (HRG)-induced cancer cell growth,Potential anti-cancer agents by inhibiting HER3-HRG interaction
2017,https://doi.org/10.1007/978-1-4939-6857-2_1,Protein,affibodies,antibody,Z05417,inhibits heregulin (HRG)-induced cancer cell growth,Potential anti-cancer agents by inhibiting HER3-HRG interaction
2017,https://doi.org/10.1007/978-1-4939-6857-2_1,Protein,anticalins,NGAL,lipocalin,immunotherapy of cancer and infectious diseases,Potential immunotherapy for cancer and infectious diseases
2017,https://doi.org/10.1007/978-1-4939-6857-2_1,Protein,Adnectins,antibody,Ct-322,promotes antitumor activities,Potential anti-cancer agent by inhibiting VEGFR-2
2017,https://doi.org/10.1007/978-1-4939-6857-2_1,Protein,Fc small antibody,antibody,HMTI-Fc,recruits the immune cells in antibody-dependent cell-mediated cytotoxicity (ADCC),"inhibits the binding of trastuzumab with HER2-overexpressing SK-BR3 cells, thus shows its potential to treat cancer"
2017,https://doi.org/10.1007/978-1-4939-6857-2_1,Protein,affibody,antibody,99mTc- (mercaptoacetyl-Glu-Glu-Glu) maEEE-ZHER2:342,better tracer for clinical imaging of HER2 overexpression in tumors and metastases,Potential improved diagnosis of HER2-positive tumors and metastases
2017,https://doi.org/10.1016/bs.ircmb.2016.09.004,Protein,Smac mimetic,Smac/DIABLO,BV6,Therapeutically Targets IAP Proteins in Cancer,"mediates cell death depended on a TNFα/TNFR1-stimulated signaling and IRF1 in AML cells, since pharmacological or genetic inhibition of TNFα, TNFR1, or IRF1 rescued cell death upon treatment with Smac mimetic,Potential cancer treatment by targeting IAP proteins"
2017,https://doi.org/10.1016/bs.ircmb.2016.09.004,Protein,Smac mimetic,Smac/DIABLO,IFNα,Therapeutically Targets IAP Proteins in Cancer,"sensitizes cells, including CD34-positive AML stem– progenitor cells, to demethylating drugs such as 5-azacitadine or 5-Aza-2-deoxycytidine (5-Aza),Potential treatment for AML by sensitizing cells to demethylating drugs"
2017,https://doi.org/10.1021/acsbiomaterials.7b00600,Protein,secondary structure,MCP-1 peptide,MCP-1 PAMs,"presence of prostate cancer cells,displayed anticancer efficacy by reducing CCR2 expression.","displayed improved binding and chemoattractant properties to monocytes, which upregulated the inflammatory signaling pathways responsible for monocyte migration , Potential anti-cancer agent for prostate cancer"
2018,https://doi.org/10.1002/ejoc.201701601,Carbohydrate,Glycosidase Inhibitors,Retaining β-glucopyranosides,Cyclophellitol Aziridine (2),Acts as an irreversible covalent inhibitor of retaining β-glucosidases.,"Inhibits enzyme by forming a covalent bond with the active site, rendering it inactive."
2018,https://doi.org/10.1002/ejoc.201701601,Carbohydrate,Glycosidase Inhibitors,α- and β-galactopyranose configured analogues,Carba-Cyclophellitol Derivatives,Competitive inhibitors of retaining β-galactosidases.,"Bind to the enzyme's active site, competitively inhibiting substrate binding and enzymatic activity."
2018,https://doi.org/10.1016/j.aca.2018.08.025,Carbohydrate,Monosaccharide (Galactose),Galactose,Carbohydrate-mimetic peptide (YYYYC),"Mimics galactose residues to bind galactose-recognizing proteins such as SBA, facilitating detection of target proteins and cells with galactose-terminal carbohydrate chains.","Acts as an electron-transfer sensor in electrochemical assays; interacts specifically with galactose-binding proteins and receptors on cells, enabling label-free detection of cancer cells and proteins related to galactose-binding."
2018,https://doi.org/10.1016/j.aca.2018.08.026,Carbohydrate,"Monosaccharides (Galactose, N-acetylgalactosamine)",N-acetylgalactosamine and galactose,Peptides with YXY sequences (general class),"Serve as carbohydrate-mimetic units capable of binding to carbohydrate-binding proteins (lectins and galectins), enabling the recognition of specific glycan structures on cell surfaces or glycoproteins, especially those altered in cancer.","Function as probes in electrochemical sensing systems; facilitate interactions with target proteins and cells that display specific carbohydrate epitopes, aiding in disease diagnostics like cancer cell detection"
2018,https://doi.org/10.1016/j.aca.2017.11.048,Carbohydrate,"Monosaccharide (specifically, a hexose).",Methyl α-D-mannopyranoside,DVFYPYPYASGS,"Interacts with ConA, mimicking the binding of carbohydrate",Binding constant reported to be 2.2 × 10⁴ L/mol; suppresses ConA-induced T-cell proliferation
2018,https://doi.org/10.1016/j.aca.2017.11.049,Carbohydrate,tumor-associated glycoproteins or glycolipids,Not explicitly mentioned,IFLLWQR,Targets properties of annexin for tumor targeting,Demonstrates specific tumor-targeting activity and serves as a vehicle for anti-cancer drugs
2018,https://doi.org/10.1016/j.aca.2017.11.050,Carbohydrate,galactose,Not explicitly mentioned,YYYY-C and YYYYY-C,Functions as an electron-transfer agent and interacts with carbohydrate-binding proteins,Demonstrates electroactivity in the context of molecular recognition
2018,https://doi.org/10.1038/s41467-017-02693-9,Protein,mimetic inhibitor.,BCL-2,ABT-199 (Venetoclax),"Inhibits the anti-apoptotic function of BCL-2, promoting apoptosis in cancer cells.","Selectively binds to BCL-2, preventing it from sequestering pro-apoptotic proteins."
2018,https://doi.org/10.1038/s41467-017-02693-9,Protein,mimetic inhibitor.,BCL-2 and BCL-XL,ABT-263 (Navitoclax),"Induces apoptosis by inhibiting BCL-2 and BCL-XL, which are crucial for cell survival.",Disrupts the interaction between pro-apoptotic and anti-apoptotic BCL-2 family proteins.
2018,https://doi.org/10.1038/s41467-017-02693-9,Protein,inhibitor.,MCL1,S63845,"Specifically targets and inhibits MCL1, leading to apoptosis in MCL1-dependent cancer cells.","Blocks the anti-apoptotic function of MCL1, enhancing the effectiveness of other therapies."
2018,https://doi.org/10.1038/s41467-017-02693-9,Protein,Deubiquitinase inhibitor.,USP13 (indirectly),Spautin-1,"Inhibits USP13, leading to decreased MCL1 stability and increased sensitivity to BH3 mimetics.",Promotes degradation of MCL1 through the proteasomal pathway.
2018,https://doi.org/10.1186/s12868-018-0482-4,Protein,Pharmacological agent,mTOR inhibition,Rapamycin,"Rapamycin is a well-known inhibitor of the mammalian target of rapamycin (mTOR), which regulates cell growth, metabolism, and survival.","It increases cell viability during CoCl2 exposure, reduces activation of caspases-9 and -3, and promotes autophagy by increasing Beclin-1 and converting LC3-I to LC3-II."
2018,https://doi.org/10.1186/s12868-018-0482-4,Protein,Not Specified Explicitly,Anti-apoptotic protein,Bcl-2 (B cell lymphoma-2),"Bcl-2 helps prevent apoptosis by inhibiting the release of cytochrome c from mitochondria, thus blocking the intrinsic apoptotic pathway.","Its expression increases with rapamycin treatment, contributing to reduced oxidative stress and promoting cell survival."
2018,https://doi.org/10.1186/s12868-018-0482-4,Protein,Not Specified Explicitly,Pro-apoptotic protein,Bax (Bcl-2 associated X protein),Bax promotes apoptosis by facilitating mitochondrial outer membrane permeability (MOMP) and triggering the release of pro-apoptotic factors.,"The expression of Bax decreases with rapamycin treatment, which helps to favor cell survival by lowering the Bax/Bcl-2 ratio."
2018,https://doi.org/10.1080/21691401.2018.1489824,Protein,Not Specified Explicitly,NK-EM,Perforin,"Perforin is crucial for the cytotoxic activity of NK cells. It forms pores in the target cell membrane, facilitating the entry of granzymes.","Triggers the intrinsic apoptotic pathway by releasing cytochrome-c from mitochondria, leading to cell death."
2018,https://doi.org/10.1080/21691401.2018.1489824,Protein,Not Specified Explicitly,NK-EM,Granzyme B,Granzyme B is a serine protease that enters target cells through the pores created by perforin and initiates apoptosis.,"Activates caspases, which are essential for the apoptotic process, leading to cell death."
2018,https://doi.org/10.1080/21691401.2018.1489824,Protein,Not Specified Explicitly,NK-EM,Fas Ligand (FasL),"FasL binds to the Fas receptor on target cells, triggering the extrinsic apoptotic pathway.","Activates caspase-8 and caspase-3, leading to apoptosis of the target cell."
2018,https://doi.org/10.1080/21691401.2018.1489824,Protein,Not Specified Explicitly,Cleaved caspase-3 in NK-EM,Caspase-3,Caspase-3 is an executioner caspase that plays a pivotal role in the apoptosis process.,"Cleaved caspase-3 indicates the activation of the apoptotic pathway, leading to cell death"
2018,https://doi.org/10.1080/21691401.2018.1489824,Protein,Not Specified Explicitly,Cleaved PARP in NK-EM,Cleaved PARP (Poly (ADP-ribose) polymerase),PARP is involved in DNA repair; its cleavage is a marker of apoptosis.,The presence of cleaved PARP indicates that the cell is undergoing apoptosis.
2018,https://doi.org/10.1101/312447,Protein,Smac mimetic,Active N-terminal tetrapeptide of SMAC,AZD5582,", it promotes apoptosis by inhibiting IAPs.",": AZD5582 has been shown to potently induce degradation of cIAP1 and cIAP2, leading to activation of the ncNFκB pathway and increased expression of HIV RNA in resting CD4+ T cells."
2018,https://doi.org/10.3389/fphar.2018.01298,Protein,Smac mimetic,SMAC (Second Mitochondria-derived Activator of Caspases),APG-1387,"APG-1387 acts as an inhibitor of apoptosis proteins (IAPs) by mimicking the binding interaction between IAPs and SMAC. This leads to the activation of caspases, which are crucial for the apoptotic process.","Induces apoptosis in hepatocellular carcinoma (HCC) cells, particularly when combined with cytokines like TNF-α or TRAIL."
2019,https://www.tandfonline.com/doi/full/10.2147/IJN.S213455#d1e223,Carbohydrate,peptides,Annexin A1,motif IF-7 (IF-7-MNC),"To deliver the chemotherapeutics through the nanoparticles, the delivery system should accumulate at the tumor site first and then penetrate through the interstitium into the interior",enhancing tumor targeting and promoting the penetration of the drug delivery system into tumor tissues
2019,https://doi.org/10.3390/ijms20235835,Protein,affinity proteins ;targeting receptors,staphylococcal protein A.,Affibody molecules,designed to target the HER2 receptor in breast cancer cells.,"have rapid clearance, high tissue penetration, and the ability to bind to a unique epitope of the HER2 receptor"
2019,https://doi.org/10.1073/pnas.1819663116,Protein,Not Specified Explicitly,B Cell Lymphoma 9 (BCL9),BCL9 peptide 1,"disrupt the β-catenin/BCL9 PPI but is less potent compared to the sulfono-γ-AApeptides, with higher K_i and IC_50 values","designed to structurally and functionally mimic the α-helical HD2 domain of BCL9, effectively inhibiting cancer-related signaling pathways associated with β-catenin"
2019,https://doi.org/10.1038/s41418-019-0391-9,Protein,BCL-2/BCL-XL inhibitor,BCL-2 and BCL-XL,ABT-737,Inhibits anti-apoptotic proteins to promote apoptosis.,Validated as a true BH3 mimetic with effective mitochondrial activity.
2019,https://doi.org/10.1038/s41418-019-0391-9,Protein,BCL-2/BCL-XL inhibitor,BCL-2 and BCL-XL,ABT-263 (Navitoclax),Induces apoptosis by inhibiting anti-apoptotic proteins.,Induces apoptosis by inhibiting anti-apoptotic proteins.
2019,https://doi.org/10.1038/s41418-019-0391-9,Protein,BCL-2/BCL-XL inhibitor,BCL-2 and BCL-XL,AZD4320,Antagonizes the function of anti-apoptotic proteins.,Validated as a true BH3 mimetic with effective mitochondrial activity.
2019,https://doi.org/10.1038/s41418-019-0391-9,Protein,BCL-2 inhibitor,BCL-2,ABT-199 (Venetoclax),Selectively inhibits BCL-2 to promote apoptosis in BCL-2-dependent cells.,"Effective in low to mid-nanomolar range, validated as a BH3 mimetic."
2019,https://doi.org/10.1038/s41418-019-0391-9,Protein,BCL-XL inhibitor,BCL-XL,WEHI-539,Selectively inhibits BCL-XL to induce apoptosis.,Strong selective release of cytochrome c from BCL-XL-dependent mitochondria.
2019,https://doi.org/10.1038/s41418-019-0391-9,Protein,BCL-XL inhibitor,BCL-XL,A-1155463,Inhibits BCL-XL to promote apoptosis.,Demonstrated strong selective activity in BCL-XL-dependent cells.
2019,https://doi.org/10.1038/s41418-019-0391-9,Protein,BCL-XL inhibitor,BCL-XL,A-1331852,Antagonizes BCL-XL to induce cell death.,Most potent BCL-XL inhibitor among tested compounds.
2019,https://doi.org/10.1038/s41418-019-0391-9,Protein,MCL-1 inhibitor,MCL-1,A-1210477,Most potent BCL-XL inhibitor among tested compounds.,Induces cytochrome c release from MCL-1-dependent mitochondria.
2019,https://doi.org/10.1038/s41418-019-0391-9,Protein,MCL-1 inhibitor,MCL-1,S63845,Induces cytochrome c release from MCL-1-dependent mitochondria.,Effective in inducing cytochrome c release from MCL-1-dependent cells.
2019,https://doi.org/10.1038/s41418-019-0391-9,Protein,MCL-1 inhibitor,MCL-1,AMG176,Selectively inhibits MCL-1 to induce apoptosis.,Validated as a true BH3 mimetic with effective mitochondrial activity.
2019,https://doi.org/10.1038/s41418-019-0391-9,Protein,MCL-1 inhibitor,MCL-1,AZD5991,Inhibits MCL-1 to promote apoptosis.,Induces cytochrome c release from MCL-1-dependent mitochondria.
2019,https://doi.org/10.1016/j.cmet.2019.01.018,Protein,Acetyltransferase inhibitor,EP300 (E1A-Associated Protein p300),EP300 Inhibitors,Inhibition of acetyltransferase activity.,"Promotes autophagy through deacetylation of proteins like PI3K3 and BECN1, enhancing their interaction with pro-autophagic complexes."
2019,https://doi.org/10.1016/j.cmet.2019.01.018,Protein,Acetyltransferase inhibitor,KATs (Lysine Acetyltransferases),KAT Inhibitors,Inhibition of acetylation processes.,Induces autophagy by reducing acetylation levels of key proteins.
2019,https://doi.org/10.1093/rb/rbz027,Protein,Not Specified Explicitly,Vascular Endothelial Growth Factor (VEGF),KLT (KLTWQELYQLKYKGI),": The KLT peptide is designed to activate VEGF receptors, promoting angiogenesis, which is the formation of new blood vessels.","It has been shown to promote endothelial cell (EC) growth, migration, and tubulogenesis, which are critical processes in angiogenesis"
2019,https://doi.org/10.1002/adfm.202402521,Protein,Not Specified Explicitly,Apoptotic Cells,Phosphatidylserine-Incorporated Exosome Mimetics (PS-EMs),"PS serves as an ""eat-me"" signal that is recognized by macrophages, facilitating phagocytosis of apoptotic cells. This mimetic aims to exploit the immunosuppressive properties of PS to enhance therapeutic effects in osteoporotic conditions.","The PS-EMs are designed to enhance the affinity for osteoclast precursors, thereby promoting targeted delivery and potentially modulating bone resorption."
2019,https://doi.org/10.1186/s12885-019-6103-5,Protein,Smac mimetic,Smac,LCL161,"LCL161 acts as an inhibitor of IAP (Inhibitor of Apoptosis) proteins, particularly targeting XIAP (X-linked Inhibitor of Apoptosis Protein), cIAP1, and cIAP2.","It promotes cell death by relieving the inhibition of caspases (caspase-3, -7, and -9) that are normally blocked by XIAP. This leads to the activation of the apoptotic pathway, facilitating the death of cancer cells, particularly in the context of osteosarcoma when combined with TNFα"
2019,https://doi.org/10.1186/s12885-019-6103-5,Protein,smac mimetic,Smac,GDC-0152,"Similar to LCL161, GDC-0152 inhibits IAP proteins, including XIAP, cIAP1, and cIAP2, thereby promoting apoptosis in cancer cells","GDC-0152 has been shown to sensitize osteosarcoma cells to TNFα-induced cell death, particularly when TNFα is provided exogenously, as these cells do not produce it autocrinely"
2019,https://doi.org/10.1016/j.celrep.2020.108286,Protein,Not Specified Explicitly,BCL-2,Obatoclax,Acts as a BH3 mimetic to promote apoptosis in cancer cells.,Acts as a BH3 mimetic to promote apoptosis in cancer cells.
2019,https://doi.org/10.1016/j.celrep.2020.108286,Protein,Not Specified Explicitly,BMI1,PTC028,"Inhibits BMI1, leading to decreased self-renewal and induction of senescence in tumor cells.","It drives cancer cells into a senescent state, which can be beneficial in controlling tumor growth."
2019,https://doi.org/10.1021/acs.bioconjchem.9b00259,Protein,Cell-adhesion peptide.,Integrin proteins,Integrin-binding Cyclic RGDfK Peptide,"Used to create multivalent presentations on DNA scaffolds, effectively inhibiting melanoma cells that overexpress integrins. The study found that a construct with 15 peptides maximized efficiency in binding, demonstrating the importance of spatial arrangement in enhancing activity.","The integrin-binding cyclic RGDfK peptide specifically targets αvβ3 integrin with high affinity, inhibiting integrin-mediated signaling pathways critical for angiogenesis, tumor growth, and metastasis"
2020,https://doi.org/10.3390/cells9020406,Protein,Not Specified Explicitly,Smac,GDC-0152,"Inhibits IAPs, promoting apoptosis in cancer cells.",Demonstrated anti-cancer effects in preclinical studies.
2020,https://doi.org/10.3390/cells9020406,Protein,Not Specified Explicitly,Smac,CUDC-427 (GDC-0917),Targets IAPs to enhance the efficacy of chemotherapy.,Shown to sensitize cancer cells to treatment.
2020,https://doi.org/10.3390/cells9020406,Protein,Not Specified Explicitly,Smac,Debio 1143 (AT-406),"inhibits IAPs, facilitating apoptosis.",Exhibited potential in various cancer types.
2020,https://doi.org/10.3390/cells9020406,Protein,Not Specified Explicitly,Smac,LCL161,Disrupts IAP function to promote cell death.,Effective in preclinical cancer models.
2020,https://doi.org/10.3390/cells9020406,Protein,Not Specified Explicitly,Smac,BI 891065 (BI5),Higher selectivity towards cIAP1 and cIAP2 compared to XIAP.,Modest efficacy in bladder and breast cancer cell lines.
2020,https://doi.org/10.3390/cells9020406,Protein,Not Specified Explicitly,Smac,Birinapant (TL32711),Binds to IAPs to promote apoptosis.,Undergoing clinical trials for various cancers
2020,https://doi.org/10.3390/cells9020406,Protein,Not Specified Explicitly,Smac,APG-1387,Inhibits IAPs to induce cancer cell death.,Inhibits IAPs
2020,https://doi.org/10.3390/cells9020406,Protein,Not Specified Explicitly,Smac,HGS1029 (AEG40826),Targets IAPs to enhance apoptosis.,Targets IAPs
2020,https://doi.org/10.2147/IJN.S253576,Protein,Not Specified Explicitly,Integrins,RGD (Arg-Gly-Asp) Mimetic Peptide,"Promotes cell attachment and survival, particularly for dental pulp stem cells (DPSCs).",Enhances the proliferation and differentiation of DPSCs by facilitating their adhesion to the extracellular matrix (ECM).
2021,https://doi.org/10.1038/s41467-021-23985-1,Protein,Amyloid inhibitor,mutant p53 protein in cancer cells.,ADH-6,targets and dissociates mutant p53 aggregates in human cancer cells.,"It restores p53's transcriptional activity, leading to cell cycle arrest and apoptosis"
2021,https://doi.org/10.1186/s13046-021-02157-5,Protein,Small molecule inhibitor.,"Bim, Bad, and Bid (pro-apoptotic BH3-only proteins)",ABT-737,"Disrupts the interaction between pro-apoptotic and anti-apoptotic Bcl-2 proteins,",promotes apoptosis in cancer cells.
2021,https://doi.org/10.1186/s13046-021-02157-5,Protein,Small molecule inhibitor.,Bim and Bad,Navitoclax (ABT-263),"Induces apoptosis by inhibiting Bcl-2, Bcl-xL, and Bcl-w",activation of BAX and BAK.
2021,https://doi.org/10.1186/s13046-021-02157-5,Protein,Engineered peptide.,Bcl-xL,DT2216,"Designed to degrade Bcl-xL, reducing its off-target effects",enhancing apoptosis in cancer cells.
2021,https://doi.org/10.1186/s13046-021-02157-5,Protein,nanostructured peptide,BIM (a pro-apoptotic BH3-only protein),BIM BH3-mimetic peptide amphiphile,Facilitates the uptake of the mimetic,trigger cell death in cancer cells like HeLa and MEF.
2021,https://doi.org/10.3390/molecules26102937,Protein,Anticancer agents,Heat Shock Protein 90 (Hsp90),Sansalvamide A (San A) Derivatives,Inhibition of protein folding and stabilization.,"maintain cytotoxicity while incorporating triazoles, oxazoles, and thiazoles as amide bond surrogates."
2021,https://doi.org/10.3390/molecules26102937,Protein,Not Specified Explicitly,Tumor-associated αvβ3-integrin receptors,GlycoRGD Peptide,Selective binding to integrin receptors involved in cell adhesion and migration.,"The amide bond is replaced by a triazole without losing biological activity, enhancing stability and bioavailability."
2021,https://doi.org/10.3390/molecules26102937,Protein,Antimetastatic agents,Fascin,Migrastatin Analogues,Inhibition of cell motility.,Triazole analogues of migrastatin showed significant effects in reducing migration capacity in MDA-MB-361 cell lines.
2021,https://doi.org/10.3390/app11010335,Protein,Monovalent Smac mimetic,Smac/DIABLO,LCL161,"Inhibits IAPs, promoting apoptosis in cancer cells.",Induces caspase-dependent apoptosis and can also affect the non-canonical NF-kB signaling pathway.
2021,https://doi.org/10.3390/app11010335,Protein,Bivalent Smac mimetic,Smac/DIABLO,Birinapant (TL32711),"Targets IAPs, particularly cIAP1 and cIAP2, to induce apoptosis.",Demonstrated to induce apoptosis and has been studied for its effectiveness in various cancers.
2021,https://doi.org/10.3390/app11010335,Protein,Monovalent Smac mimetic,Smac/DIABLO,GDC-0152,"Acts as a pan-IAP inhibitor, affecting XIAP, cIAP1, and cIAP2.",Induces apoptosis and has shown potential in combination therapies to enhance anti-cancer effects.
2021,https://doi.org/10.3390/app11010335,Protein,Monovalent Smac mimetic,Smac/DIABLO,AT-406 (Debio1143),"Specifically targets cIAP1 and cIAP2, similar to birinapant.",Induces apoptosis and has been evaluated in clinical settings.
2021,https://doi.org/10.3390/app11010335,Protein,Monovalent Smac mimetic,Smac/DIABLO,GDC-0917 (CUDC-427),"Inhibits IAPs, promoting apoptosis.",Evaluated for its anti-cancer potency in preclinical studies.
2021,https://doi.org/10.3390/app11010335,Protein,Bivalent Smac mimetic,Smac/DIABLO,BV6,A bivalent compound that inhibits IAPs.,Shown to suppress cancer cell progression and induce apoptosis in combination therapies.
2021,https://doi.org/10.1021/acs.analchem.1c02109,Protein,Not Specified Explicitly,Mycophenolic Acid (MPA),A2 (cyclic peptide mimetic),"The A2 peptide mimetic is designed to bind to the same antibody paratope as MPA, allowing it to compete with the actual drug in immunoassays. This mimetic is crucial for the development of sensitive detection methods for MPA in clinical samples.",The A2 mimetic demonstrated high selectivity for the recombinant MPA antibody fragment and was effective in competitive phage-based ELISA assays. It was further characterized by its ability to recognize the anti-MPA antibody and compete with free MPA at nanomolar levels
2022,https://doi.org/10.1039/D2CS00470D,Carbohydrate,Carbohydrate Mimetic Peptides (CMPs),Glycan,Glycan-mimetic peptide mimotopes,The regulation of glycan (carbohydrate)–protein interactions is needed to develop therapeutic strategies for glycan-related diseases,"modulate immune responses or inhibit glycan–protein interactions, serving as high-affinity ligands for lectins, inducing anti-glycan antibodies, or acting as vaccine candidates against pathogens and tumors"
2022,https://doi.org/10.1016/j.carres.2022.108697,Carbohydrate,synthetic polysaccharide mimetics,"Glycolipid biosurfactants (C14,C16,C18 terminal chain lengths)",Enantiopure poly-amido-saccharides (PASs),"These amphiphilic polymers are water soluble, adopt a helical secondary structure, decompose at temperatures greater than 240 °C, are non-cytotoxic, and self-assemble into nanostructures.","binding to carbohydrate-recognizing proteins (like lectins) and can act as highly effective protein stabilizers, offering enhanced stability and precise structural control compared to natural polysaccharides"
2022,https://doi.org/10.1016/j.addr.2021.114044,Protein,Tumor suppressor mimetic.,p53,p53-derived peptides,Inhibits MDM2 interaction.,"Reactivates p53, promoting apoptosis in cancer cells."
2022,https://doi.org/10.1016/j.addr.2021.114044,Protein,Oncogene inhibitor.,MDM2,MDM2 inhibitors,Inhibits p53 degradation.,"Restores p53 activity, leading to tumor suppression."
2022,https://doi.org/10.1016/j.addr.2021.114044,Protein,Oncogene mimetic.,BCL9,BCL9-derived peptides,Inhibits β-catenin interaction.,"Modulates Wnt signaling pathway, affecting cell proliferation."
2022,https://doi.org/10.1016/j.addr.2021.114044,Protein,Oncogene inhibitor.,c-Myc,c-Myc inhibitors,Disrupts c-Myc/Max dimerization.,Inhibits transcription of target genes involved in cell growth.
2022,https://doi.org/10.1016/j.addr.2021.114044,Protein,Apoptosis-inducing mimetic.,Fas Ligand (FasL),FasL-derived peptides,Induces apoptosis.,Triggers cell death in cancer cells.
2022,https://doi.org/10.1016/j.addr.2021.114044,Protein,Tumor suppressor mimetic.,TGF-β inhibitors,Transforming Growth Factor Beta (TGF-β),Inhibits TGF-β signaling.,Reduces tumor progression and metastasis.
2022,https://doi.org/10.1016/j.addr.2021.114044,Protein,Cell adhesion mimetic.,Integrins,Integrin-derived peptides,Modulates cell adhesion.,Affects tumor cell migration and invasion.
2022,https://doi.org/10.1016/j.addr.2021.114044,Protein,Chemokine receptor inhibitor.,CXCR4,CXCR4 antagonists,Inhibits chemokine signaling.,Reduces metastasis and tumor growth.
2022,https://doi.org/10.1021/acscentsci.1c01293,Protein,Not Specified Explicitly,Heparan sulfate (HS),Pixatimod (PG545),"Acts as a coreceptor for the SARS-CoV-2 spike protein, facilitating viral entry into host cells by interacting with the ACE2 receptor.
Disrupts the interaction between the spike protein and ACE2, thereby inhibiting viral infection.","Pixatimod binds to the receptor binding domain (RBD) of the SARS-CoV-2 spike protein, destabilizing it and preventing its binding to ACE2.
Demonstrated potent inhibition of SARS-CoV-2 infection in various cell types, including monkey Vero E6 cells and human bronchial epithelial cells, at therapeutically safe concentrations.
Retains effectiveness against multiple variants of concern (VOC) such as Alpha, Beta, Delta, and Omicron, indicating broad antiviral activity."
2023,https://doi.org/10.1016/j.bioactmat.2022.05.029,Protein,Cell adhesion peptide,Integrin-binding sites found in various extracellular matrix proteins.,RGD-FITC Peptide,Promotes cell adhesion and migration.,Used to validate the thiol-ene reaction on the fibrous scaffolds.
